year,category,sex,BP,SM,DM,BMI
20.29,M1111,M,1,1,1,1
22.62,M1112,M,1,1,1,2
23.86,M1113,M,1,1,1,3
21.97,M1114,M,1,1,1,4
18.74,M1211,M,1,2,1,1
20.98,M1212,M,1,2,1,2
22.1,M1213,M,1,2,1,3
20.47,M1214,M,1,2,1,4
16.73,M1311,M,1,3,1,1
18.76,M1312,M,1,3,1,2
19.87,M1313,M,1,3,1,3
18.07,M1314,M,1,3,1,4
19.5,M2111,M,2,1,1,1
22.01,M2112,M,2,1,1,2
23.09,M2113,M,2,1,1,3
21.06,M2114,M,2,1,1,4
18.02,M2211,M,2,2,1,1
20.27,M2212,M,2,2,1,2
21.32,M2213,M,2,2,1,3
19.61,M2214,M,2,2,1,4
16.02,M2311,M,2,3,1,1
18.09,M2312,M,2,3,1,2
19.12,M2313,M,2,3,1,3
17.26,M2314,M,2,3,1,4
18.04,M3111,M,3,1,1,1
20.77,M3112,M,3,1,1,2
21.57,M3113,M,3,1,1,3
19.86,M3114,M,3,1,1,4
16.56,M3211,M,3,2,1,1
18.88,M3212,M,3,2,1,2
19.7,M3213,M,3,2,1,3
18.42,M3214,M,3,2,1,4
14.83,M3311,M,3,3,1,1
16.98,M3312,M,3,3,1,2
17.83,M3313,M,3,3,1,3
16.25,M3314,M,3,3,1,4
17.17,M4111,M,4,1,1,1
19.78,M4112,M,4,1,1,2
20.56,M4113,M,4,1,1,3
18.92,M4114,M,4,1,1,4
15.73,M4211,M,4,2,1,1
17.96,M4212,M,4,2,1,2
18.76,M4213,M,4,2,1,3
17.53,M4214,M,4,2,1,4
14.05,M4311,M,4,3,1,1
16.12,M4312,M,4,3,1,2
16.95,M4313,M,4,3,1,3
15.42,M4314,M,4,3,1,4
17.56,M1121,M,1,1,2,1
19.63,M1122,M,1,1,2,2
20.8,M1123,M,1,1,2,3
18.87,M1124,M,1,1,2,4
16.21,M1221,M,1,2,2,1
18.2,M1222,M,1,2,2,2
19.28,M1223,M,1,2,2,3
17.54,M1224,M,1,2,2,4
14.25,M1321,M,1,3,2,1
16.06,M1322,M,1,3,2,2
17.12,M1323,M,1,3,2,3
15.3,M1324,M,1,3,2,4
16.81,M2121,M,2,1,2,1
19.13,M2122,M,2,1,2,2
20.14,M2123,M,2,1,2,3
18.03,M2124,M,2,1,2,4
15.51,M2221,M,2,2,2,1
17.56,M2222,M,2,2,2,2
18.56,M2223,M,2,2,2,3
16.74,M2224,M,2,2,2,4
13.57,M2321,M,2,3,2,1
15.47,M2322,M,2,3,2,2
16.44,M2323,M,2,3,2,3
14.55,M2324,M,2,3,2,4
15.63,M3121,M,3,1,2,1
18.18,M3122,M,3,1,2,2
18.98,M3123,M,3,1,2,3
17.01,M3124,M,3,1,2,4
14.33,M3221,M,3,2,2,1
16.48,M3222,M,3,2,2,2
17.29,M3223,M,3,2,2,3
15.74,M3224,M,3,2,2,4
12.59,M3321,M,3,3,2,1
14.58,M3322,M,3,3,2,2
15.41,M3323,M,3,3,2,3
13.68,M3324,M,3,3,2,4
